repo_url,owner,repo_name,full_name,description,homepage,language,stars,watchers,forks_count,open_issues,size_kb,default_branch,is_fork,is_archived,is_template,has_wiki,has_pages,has_discussions,license,created_at,updated_at,pushed_at,topics,network_count,parent_repo,source_repo,contributor_count,total_commits,commits_last_year,owner_commits_year,recent_weekly_commit_avg,languages_count,primary_language_pct,total_code_bytes,languages_detail,release_count,latest_release_date,has_releases,branch_count,tag_count,dependency_count,dev_dependency_count,dep_files_found,dep_ecosystems,dep_ecosystem_count,total_files,total_dirs,tree_depth,has_ci_cd,has_dockerfile,has_docs,has_tests,has_examples,has_benchmarks,readme_size,src_file_count,test_file_count,config_file_count,desc_fork_wrapper_signals,desc_originality_signals,desc_length,health_percentage,has_code_of_conduct,has_contributing,has_issue_template,has_pull_request_template,age_days,days_since_push,fork_to_star_ratio,deps_per_src_file,deps_per_1k_loc,src_to_total_file_ratio,commits_per_contributor,stars_per_contributor,code_bytes_per_dep,commits_per_age_day
https://github.com/ethpandaops/checkpointz,ethpandaops,checkpointz,ethpandaops/checkpointz,An Ethereum beacon chain checkpoint sync provider,,Go,160,5,39,64,8788,master,False,False,False,True,False,False,GPL-3.0,2022-07-25T02:21:34Z,2025-12-26T04:59:24Z,2026-03-09T03:11:09Z,ethereum,39,,,12,359,18,0,0.0,7,56.5,230647,"{""Go"": 130422, ""TypeScript"": 97308, ""JavaScript"": 1146, ""Dockerfile"": 783, ""HTML"": 617, ""CSS"": 265, ""Makefile"": 106}",100,2026-03-06T04:13:33Z,True,66,100,76,0,"go.mod,go.sum",go,1,133,37,4,True,True,False,False,False,False,9846,74,10,17,0,0,49,37,False,False,False,False,1327,4,0.2437,1.027,0.329508,0.5564,29.92,13.33,3034.83,0.2705
https://github.com/argotorg/act,argotorg,act,argotorg/act,Smart contract specification language,,Haskell,268,8,48,34,36349,main,False,False,False,True,True,False,AGPL-3.0,2019-09-13T16:50:11Z,2026-03-12T22:46:13Z,2026-03-02T17:50:18Z,,48,,,14,1375,389,0,0.25,10,79.8,624696,"{""Haskell"": 498671, ""Rocq Prover"": 48133, ""Solidity"": 28259, ""Yacc"": 12907, ""Makefile"": 9327, ""Vyper"": 9081, ""Nix"": 8631, ""RPC"": 7143, ""Python"": 2341, ""Shell"": 203}",2,2026-01-30T17:09:32Z,True,84,3,1,0,"package.json,Makefile,flake.nix","nix,npm,make",3,624,116,5,True,False,True,True,True,False,2141,29,184,61,0,0,37,37,False,False,False,False,2372,10,0.1791,0.0345,0.001601,0.0465,98.21,19.14,624696.0,0.5797
https://github.com/ethdebug/format,ethdebug,format,ethdebug/format,Smart contract debugging data format – Standards development working group ,https://ethdebug.github.io/format/,TypeScript,77,8,11,38,43015,main,False,False,False,True,True,False,NOASSERTION,2022-11-14T19:33:47Z,2026-03-11T06:43:22Z,2026-03-11T09:25:51Z,"debugging-data-format,ethereum,smart-contracts,standards-working-group",11,,,7,386,105,0,5.75,6,81.9,2124267,"{""TypeScript"": 1739935, ""MDX"": 272428, ""CSS"": 106639, ""JavaScript"": 4182, ""Shell"": 720, ""HTML"": 363}",0,,False,12,0,0,16,package.json,npm,1,725,153,7,True,False,False,True,False,False,4684,268,112,119,0,0,75,37,False,False,False,False,1214,2,0.1429,0.0,0.0,0.3697,55.14,11.0,2124267.0,0.318
https://github.com/powdr-labs/powdr,powdr-labs,powdr,powdr-labs/powdr,Performance and security acceleration for zkVMs.,,Rust,484,13,126,56,79828,main,False,False,False,True,True,False,Apache-2.0,2023-01-06T08:56:44Z,2026-03-13T11:20:25Z,2026-03-13T11:23:37Z,,126,,,33,3312,724,0,9.75,4,94.6,1377894,"{""Rust"": 1304148, ""Python"": 48630, ""Cuda"": 17378, ""Shell"": 7738}",5,2024-12-29T11:02:55Z,True,100,9,0,0,Cargo.toml,cargo,1,309,103,5,True,True,False,False,False,True,2090,155,12,51,0,0,48,37,False,False,False,False,1162,0,0.2603,0.0,0.0,0.5016,100.36,14.67,1377894.0,2.8503
https://github.com/evmts/tevm-monorepo,evmts,tevm-monorepo,evmts/tevm-monorepo,"An Ethereum Node built to run in Browser, Bun, Deno, and Node.js",https://tevm.sh,TypeScript,438,3,50,24,151083,main,False,False,False,False,False,True,MIT,2023-02-14T06:21:49Z,2026-03-03T11:40:14Z,2026-02-09T21:00:39Z,"evm,forge,solidity,typescript",50,,,30,1973,404,0,0.0,8,68.6,8062452,"{""TypeScript"": 5534233, ""JavaScript"": 2291259, ""Rust"": 130127, ""Solidity"": 68553, ""Python"": 29791, ""Dockerfile"": 4170, ""Shell"": 2980, ""Nix"": 1339}",100,2025-10-07T16:44:50Z,True,100,100,0,19,"package.json,Cargo.toml,flake.nix","nix,cargo,npm",3,9423,965,7,True,True,True,True,True,True,8446,2022,1179,500,0,0,64,87,True,True,False,True,1123,31,0.1142,0.0,0.0,0.2146,65.77,14.6,8062452.0,1.7569
https://github.com/TrueBlocks/trueblocks-core,TrueBlocks,trueblocks-core,TrueBlocks/trueblocks-core,The main repository for the TrueBlocks system,https://trueblocks.io,Shell,1094,11,220,22,681125,main,False,False,False,True,False,False,GPL-3.0,2017-04-03T12:39:10Z,2026-03-01T00:01:42Z,2026-02-23T19:21:50Z,"blockchain,command-line-tools,ethereum,indexing",220,,,58,11440,294,0,5.25,6,43.5,134728,"{""Shell"": 58645, ""Solidity"": 57547, ""CMake"": 14908, ""Dockerfile"": 3422, ""Nix"": 152, ""Makefile"": 54}",23,2025-09-28T04:53:51Z,True,3,100,0,0,,,0,5069,250,6,True,True,True,True,False,False,8336,16,3,84,0,0,45,75,True,True,False,True,3266,17,0.2011,0.0,0.0,0.0032,197.24,18.86,134728.0,3.5028
https://github.com/shazow/whatsabi,shazow,whatsabi,shazow/whatsabi,"Extract the ABI (and resolve proxies, and get other metadata) from Ethereum bytecode, even without source code.",https://shazow.github.io/whatsabi/,TypeScript,1145,12,90,41,1294,main,False,False,False,False,True,True,MIT,2022-09-22T02:03:22Z,2026-03-13T10:37:11Z,2026-03-05T18:55:26Z,"bytecode,ethereum,evm,web3",90,,,15,638,74,67,0.5,4,99.2,222232,"{""TypeScript"": 220437, ""Makefile"": 890, ""Nix"": 713, ""JavaScript"": 192}",43,2026-02-12T16:53:56Z,True,12,48,1,13,"package.json,Makefile,flake.nix","nix,npm,make",3,68,8,3,True,False,False,False,True,True,10131,25,17,17,0,0,111,42,False,False,False,False,1268,7,0.0786,0.04,0.0045,0.3676,42.53,76.33,222232.0,0.5032
https://github.com/chainsafe/lodestar,chainsafe,lodestar,ChainSafe/lodestar,🌟 Ethereum Consensus client for the Zig and TypeScript ecosystem,https://lodestar.chainsafe.io,TypeScript,1404,31,439,318,457598,unstable,False,False,False,True,True,True,Apache-2.0,2018-06-22T14:41:47Z,2026-03-13T01:25:32Z,2026-03-13T13:17:59Z,"beacon-chain,blockchain,eth2,ethereum,proof-of-stake,serenity,typescript",439,,,136,11109,788,0,14.5,5,98.1,7295383,"{""TypeScript"": 7154060, ""Go Template"": 65069, ""JavaScript"": 45612, ""Shell"": 27088, ""Dockerfile"": 3554}",100,2026-02-11T15:17:42Z,True,100,100,2,46,package.json,npm,1,2137,546,8,True,True,True,True,False,True,14222,1016,741,178,1,0,64,87,False,True,False,True,2820,0,0.3127,0.002,0.000274,0.4754,81.68,10.32,3647691.5,3.9394
https://github.com/erigontech/silkworm,erigontech,silkworm,erigontech/silkworm,C++ implementation of the Ethereum protocol,,C++,317,9,83,114,135244,master,False,False,False,True,False,False,Apache-2.0,2020-06-11T14:22:43Z,2026-02-27T02:05:34Z,2025-05-21T09:10:41Z,"cpp,ethereum",83,,,28,2889,87,0,0.0,8,99.8,58165882,"{""C++"": 58048816, ""CMake"": 70991, ""C"": 23518, ""Shell"": 8932, ""Python"": 8489, ""Dockerfile"": 2825, ""Go"": 1480, ""Makefile"": 831}",15,2025-02-01T15:38:36Z,True,84,18,0,0,"CMakeLists.txt,Makefile","cmake,make",2,1820,216,7,True,True,True,True,True,True,9931,1276,346,24,0,0,43,62,False,True,False,False,2100,296,0.2618,0.0,0.0,0.7011,103.18,11.32,58165882.0,1.3757
https://github.com/ethpandaops/ethereum-helm-charts,ethpandaops,ethereum-helm-charts,ethpandaops/ethereum-helm-charts,A set of Helm charts to run multiple components of the Ethereum blockchain on Kubernetes.,,Go Template,185,6,93,26,2237,master,False,False,False,True,True,False,MIT,2021-09-23T11:02:11Z,2026-03-12T10:48:54Z,2026-03-13T10:22:21Z,"docker,ethereum,helm,kubernetes",93,,,21,400,73,0,1.75,2,99.7,152473,"{""Go Template"": 152015, ""Makefile"": 458}",100,2026-03-04T18:30:13Z,True,17,100,0,0,Makefile,make,1,1227,226,5,True,False,False,False,False,True,8329,0,0,861,0,0,89,37,False,False,False,False,1632,0,0.5027,0.0,0.0,0.0,19.05,8.81,152473.0,0.2451
